system_number,query_number,doc_number,rank_of_doc,score
1,1,9079,128,2.3027
1,1,8856,129,2.3027
1,1,8860,130,2.2714
1,1,7872,131,2.2714
1,1,5495,132,2.2714
1,1,9589,133,2.2687
1,1,9484,134,2.2687
1,1,9327,135,2.2687
1,1,8276,136,2.2687
1,1,7623,137,2.2687
1,1,6578,138,2.2687
1,1,6521,139,2.2687
1,1,5569,140,2.2687
1,1,9582,141,2.2075
1,1,9078,142,2.2075
1,1,7964,143,2.2075
1,1,7953,144,2.2075
1,1,7335,145,2.2075
1,1,6310,146,2.2075
1,1,5957,147,2.2075
1,1,5672,148,2.2075
1,1,5663,149,2.2075
1,1,9323,150,2.1696
1,1,9322,151,2.1696
1,1,9209,152,2.1696
1,1,8678,153,2.1696
1,1,8605,154,2.1696
1,1,8485,155,2.1696
1,1,8320,156,2.1696
1,1,8058,157,2.1696
1,1,7884,158,2.1696
1,1,7810,159,2.1696
1,1,7163,160,2.1696
1,1,7027,161,2.1696
1,1,6965,162,2.1696
1,1,5158,163,2.1696
1,1,9955,164,2.1144
1,1,9821,165,2.0733
1,1,9779,166,2.0733
1,1,9545,167,2.0733
1,1,9180,168,2.0733
1,1,9050,169,2.0733
1,1,8710,170,2.0733
1,1,8504,171,2.0733
1,1,8374,172,2.0733
1,1,8162,173,2.0733
1,1,7789,174,2.0733
1,1,7460,175,2.0733
1,1,7386,176,2.0733
1,1,6937,177,2.0733
1,1,6916,178,2.0733
1,1,6796,179,2.0733
1,1,6108,180,2.0733
1,1,5937,181,2.0733
1,1,5907,182,2.0733
1,1,5906,183,2.0733
1,1,5730,184,2.0733
1,1,5664,185,2.0733
1,1,5585,186,2.0733
1,1,5323,187,2.0733
1,1,5145,188,2.0733
1,1,6291,189,2.0591
1,1,9241,190,2.0464
1,1,9784,191,2.0393
1,1,9389,192,2.0393
1,1,8911,193,2.0393
1,1,8804,194,2.0393
1,1,8709,195,2.0393
1,1,8499,196,2.0393
1,1,8425,197,2.0393
1,1,8409,198,2.0393
1,1,8245,199,2.0393
1,1,8195,200,2.0393
1,1,8173,201,2.0393
1,1,8166,202,2.0393
1,1,7981,203,2.0393
1,1,7887,204,2.0393
1,1,7434,205,2.0393
1,1,7394,206,2.0393
1,1,6951,207,2.0393
1,1,6808,208,2.0393
1,1,6715,209,2.0393
1,1,6589,210,2.0393
1,1,6368,211,2.0393
1,1,6244,212,2.0393
1,1,6116,213,2.0393
1,1,5921,214,2.0393
1,1,5805,215,2.0393
1,1,5579,216,2.0393
1,1,5571,217,2.0393
1,1,6685,218,1.9239
1,1,9435,219,1.8868
1,1,8434,220,1.8868
1,1,7433,221,1.8868
1,1,10025,222,1.8439
1,1,9968,223,1.8439
1,1,9869,224,1.8439
1,1,9698,225,1.8439
1,1,9648,226,1.8439
1,1,9593,227,1.8439
1,1,9579,228,1.8439
1,1,9415,229,1.8439
1,1,9161,230,1.8439
1,1,9075,231,1.8439
1,1,8988,232,1.8439
1,1,8980,233,1.8439
1,1,8925,234,1.8439
1,1,8606,235,1.8439
1,1,8416,236,1.8439
1,1,8019,237,1.8439
1,1,8002,238,1.8439
1,1,7991,239,1.8439
1,1,7987,240,1.8439
1,1,7907,241,1.8439
1,1,7876,242,1.8439
1,1,7842,243,1.8439
1,1,7533,244,1.8439
1,1,7407,245,1.8439
1,1,7387,246,1.8439
1,1,7175,247,1.8439
1,1,6871,248,1.8439
1,1,6870,249,1.8439
1,1,6512,250,1.8439
1,1,6511,251,1.8439
1,1,6460,252,1.8439
1,1,6299,253,1.8439
1,1,6183,254,1.8439
1,1,6133,255,1.8439
1,1,5901,256,1.8439
1,1,5829,257,1.8439
1,1,5686,258,1.8439
1,1,5483,259,1.8439
1,1,5400,260,1.8439
1,1,5390,261,1.8439
1,1,5387,262,1.8439
1,1,5174,263,1.8439
1,1,5115,264,1.8439
1,1,9446,265,1.8382
1,1,8350,266,1.8382
1,1,8201,267,1.8382
1,1,6128,268,1.8382
1,1,9896,269,1.7334
1,1,9532,270,1.7334
1,1,9403,271,1.7334
1,1,9859,272,1.6619
1,1,9732,273,1.6619
1,1,9694,274,1.6619
1,1,9671,275,1.6619
1,1,9664,276,1.6619
1,1,9212,277,1.6619
1,1,9134,278,1.6619
1,1,9082,279,1.6619
1,1,8435,280,1.6619
1,1,8362,281,1.6619
1,1,8211,282,1.6619
1,1,8025,283,1.6619
1,1,7764,284,1.6619
1,1,7314,285,1.6619
1,1,7229,286,1.6619
1,1,6988,287,1.6619
1,1,6851,288,1.6619
1,1,6825,289,1.6619
1,1,6537,290,1.6619
1,1,6395,291,1.6619
1,1,5929,292,1.6619
1,1,5865,293,1.6619
1,1,5841,294,1.6619
1,1,5641,295,1.6619
1,1,5586,296,1.6619
1,1,5522,297,1.6619
1,1,5435,298,1.6619
1,1,8050,299,1.6581
1,1,7822,300,1.6581
1,1,9953,301,1.5982
1,1,9892,302,1.5982
1,1,9409,303,1.5982
1,1,8970,304,1.5982
1,1,8494,305,1.5982
1,1,8355,306,1.5982
1,1,7949,307,1.5982
1,1,7493,308,1.5982
1,1,7376,309,1.5982
1,1,7232,310,1.5982
1,1,7070,311,1.5982
1,1,6642,312,1.5982
1,1,6457,313,1.5982
1,1,5908,314,1.5982
1,1,5826,315,1.5982
1,1,5665,316,1.5982
1,1,5311,317,1.5982
1,1,8547,318,1.5842
1,1,7820,319,1.5554
1,1,7428,320,1.5554
1,1,9805,321,1.5239
1,1,7449,322,1.5239
1,1,6904,323,1.5239
1,1,6122,324,1.5239
1,1,7733,325,1.4890
1,1,7146,326,1.4890
1,1,5316,327,1.4890
1,1,7580,328,1.4501
1,1,7367,329,1.4501
1,1,10020,330,1.4077
1,1,10015,331,1.4077
1,1,9680,332,1.4077
1,1,9633,333,1.4077
1,1,9553,334,1.4077
1,1,9549,335,1.4077
1,1,9538,336,1.4077
1,1,9299,337,1.4077
1,1,9155,338,1.4077
1,1,9081,339,1.4077
1,1,9052,340,1.4077
1,1,8691,341,1.4077
1,1,8366,342,1.4077
1,1,8265,343,1.4077
1,1,8009,344,1.4077
1,1,7994,345,1.4077
1,1,7584,346,1.4077
1,1,7535,347,1.4077
1,1,7528,348,1.4077
1,1,7512,349,1.4077
1,1,7481,350,1.4077
1,1,7149,351,1.4077
1,1,6863,352,1.4077
1,1,6807,353,1.4077
1,1,6752,354,1.4077
1,1,6738,355,1.4077
1,1,6132,356,1.4077
1,1,6127,357,1.4077
1,1,6026,358,1.4077
1,1,6024,359,1.4077
1,1,6013,360,1.4077
1,1,5923,361,1.4077
1,1,5653,362,1.4077
1,1,5538,363,1.4077
1,1,5074,364,1.4077
1,1,5031,365,1.4077
1,1,5001,366,1.4077
1,1,8418,367,1.4059
1,1,7723,368,1.4059
1,1,6696,369,1.4059
1,1,6263,370,1.4059
1,1,5799,371,1.4059
1,1,5608,372,1.4059
1,1,8294,373,1.3549
1,1,8243,374,1.3549
1,1,8041,375,1.3549
1,1,8013,376,1.3549
1,1,7883,377,1.3549
1,1,7216,378,1.3549
1,1,6311,379,1.3549
1,1,6262,380,1.3549
1,1,8698,381,1.2945
1,1,8407,382,1.2945
1,1,8322,383,1.2945
1,1,8015,384,1.2945
1,1,7892,385,1.2945
1,1,7734,386,1.2945
1,1,7542,387,1.2945
1,1,7106,388,1.2945
1,1,6309,389,1.2945
1,1,6158,390,1.2945
1,1,6126,391,1.2945
1,1,6032,392,1.2945
1,1,5494,393,1.2945
1,1,5486,394,1.2945
1,1,5360,395,1.2945
1,1,5266,396,1.2945
1,1,10007,397,1.2774
1,1,9951,398,1.2774
1,1,9947,399,1.2774
1,1,9831,400,1.2774
1,1,9804,401,1.2774
1,1,9739,402,1.2774
1,1,9697,403,1.2774
1,1,9696,404,1.2774
1,1,9663,405,1.2774
1,1,9660,406,1.2774
1,1,9654,407,1.2774
1,1,9642,408,1.2774
1,1,9630,409,1.2774
1,1,9519,410,1.2774
1,1,9514,411,1.2774
1,1,9460,412,1.2774
1,1,9439,413,1.2774
1,1,9404,414,1.2774
1,1,9402,415,1.2774
1,1,9390,416,1.2774
1,1,9384,417,1.2774
1,1,9360,418,1.2774
1,1,9326,419,1.2774
1,1,9232,420,1.2774
1,1,9225,421,1.2774
1,1,9206,422,1.2774
1,1,9153,423,1.2774
1,1,9152,424,1.2774
1,1,9149,425,1.2774
1,1,9116,426,1.2774
1,1,9105,427,1.2774
1,1,9012,428,1.2774
1,1,8987,429,1.2774
1,1,8954,430,1.2774
1,1,8910,431,1.2774
1,1,8875,432,1.2774
1,1,8827,433,1.2774
1,1,8731,434,1.2774
1,1,8576,435,1.2774
1,1,8575,436,1.2774
1,1,8556,437,1.2774
1,1,8537,438,1.2774
1,1,8481,439,1.2774
1,1,8436,440,1.2774
1,1,8433,441,1.2774
1,1,8389,442,1.2774
1,1,8336,443,1.2774
1,1,8325,444,1.2774
1,1,8308,445,1.2774
1,1,8183,446,1.2774
1,1,8148,447,1.2774
1,1,8139,448,1.2774
1,1,8137,449,1.2774
1,1,8136,450,1.2774
1,1,8107,451,1.2774
1,1,8103,452,1.2774
1,1,8100,453,1.2774
1,1,8080,454,1.2774
1,1,8047,455,1.2774
1,1,8046,456,1.2774
1,1,8021,457,1.2774
1,1,7975,458,1.2774
1,1,7942,459,1.2774
1,1,7906,460,1.2774
1,1,7857,461,1.2774
1,1,7838,462,1.2774
1,1,7800,463,1.2774
1,1,7779,464,1.2774
1,1,7674,465,1.2774
1,1,7513,466,1.2774
1,1,7454,467,1.2774
1,1,7419,468,1.2774
1,1,7414,469,1.2774
1,1,7409,470,1.2774
1,1,7366,471,1.2774
1,1,7362,472,1.2774
1,1,7336,473,1.2774
1,1,7298,474,1.2774
1,1,7290,475,1.2774
1,1,7279,476,1.2774
1,1,7277,477,1.2774
1,1,7226,478,1.2774
1,1,7120,479,1.2774
1,1,7036,480,1.2774
1,1,7019,481,1.2774
1,1,6987,482,1.2774
1,1,6884,483,1.2774
1,1,6872,484,1.2774
1,1,6793,485,1.2774
1,1,6781,486,1.2774
1,1,6775,487,1.2774
1,1,6766,488,1.2774
1,1,6679,489,1.2774
1,1,6641,490,1.2774
1,1,6627,491,1.2774
1,1,6559,492,1.2774
1,1,6558,493,1.2774
1,1,6556,494,1.2774
1,1,6555,495,1.2774
1,1,6549,496,1.2774
1,1,6474,497,1.2774
1,1,6378,498,1.2774
1,1,6336,499,1.2774
1,1,6259,500,1.2774
1,2,7350,1,4.5810
1,2,5653,2,4.5119
1,2,9081,3,4.4913
1,2,6382,4,4.0731
1,2,6498,5,3.9813
1,2,5377,6,3.9025
1,2,7553,7,3.8867
1,2,5638,8,3.7808
1,2,5496,9,3.6726
1,2,6327,10,3.6350
1,2,5766,11,3.6222
1,2,5715,12,3.5958
1,2,9943,13,3.4993
1,2,6079,14,3.4606
1,2,7529,15,3.4505
1,2,9544,16,3.4504
1,2,9677,17,3.4391
1,2,7179,18,3.3863
1,2,7117,19,3.3696
1,2,9113,20,3.3616
1,2,7756,21,3.3524
1,2,7644,22,3.3213
1,2,6212,23,3.2801
1,2,6197,24,3.2744
1,2,5123,25,3.2660
1,2,5889,26,3.2481
1,2,6714,27,3.2465
1,2,9628,28,3.2375
1,2,7349,29,3.2371
1,2,5375,30,3.2371
1,2,5313,31,3.2054
1,2,5328,32,3.1841
1,2,5010,33,3.1835
1,2,7939,34,3.1637
1,2,7228,35,3.1561
1,2,9263,36,3.1445
1,2,5397,37,3.1427
1,2,9389,38,3.1367
1,2,6881,39,3.1250
1,2,5947,40,3.1073
1,2,9553,41,3.1061
1,2,8664,42,3.1056
1,2,7757,43,3.1047
1,2,6298,44,3.1047
1,2,5887,45,3.0854
1,2,5567,46,3.0854
1,2,9749,47,3.0325
1,2,5826,48,3.0271
1,2,7771,49,3.0230
1,2,8692,50,3.0152
1,2,6460,51,3.0152
1,2,5566,52,3.0131
1,2,5489,53,3.0091
1,2,6310,54,3.0030
1,2,8888,55,2.9858
1,2,9546,56,2.9639
1,2,5673,57,2.9639
1,2,6311,58,2.9501
1,2,5125,59,2.9501
1,2,6297,60,2.9441
1,2,6217,61,2.9285
1,2,5308,62,2.9186
1,2,5323,63,2.9131
1,2,6483,64,2.8916
1,2,8099,65,2.8606
1,2,8959,66,2.8454
1,2,9028,67,2.7895
1,2,6696,68,2.7895
1,2,6125,69,2.7895
1,2,9525,70,2.7820
1,2,5746,71,2.7424
1,2,9109,72,2.6990
1,2,5685,73,2.6990
1,2,7967,74,2.6969
1,2,6364,75,2.6825
1,2,7599,76,2.6822
1,2,9312,77,2.6680
1,2,8956,78,2.6680
1,2,8922,79,2.6680
1,2,6106,80,2.6465
1,2,8186,81,2.6329
1,2,8681,82,2.6146
1,2,6751,83,2.6146
1,2,6668,84,2.6126
1,2,7093,85,2.5999
1,2,6291,86,2.5795
1,2,5863,87,2.5795
1,2,7144,88,2.5775
1,2,5731,89,2.5775
1,2,9099,90,2.5764
1,2,7743,91,2.5754
1,2,9444,92,2.5745
1,2,8377,93,2.5745
1,2,7919,94,2.5745
1,2,7854,95,2.5320
1,2,6932,96,2.5304
1,2,7115,97,2.5250
1,2,6691,98,2.5250
1,2,6452,99,2.5250
1,2,5911,100,2.5250
1,2,5001,101,2.5250
1,2,6970,102,2.5173
1,2,8732,103,2.4899
1,2,6755,104,2.4899
1,2,8115,105,2.4857
1,2,7323,106,2.4782
1,2,5865,107,2.4715
1,2,7470,108,2.4606
1,2,6506,109,2.4606
1,2,8410,110,2.4602
1,2,7514,111,2.4602
1,2,7448,112,2.4602
1,2,5176,113,2.4602
1,2,6248,114,2.4539
1,2,6536,115,2.4395
1,2,9569,116,2.4352
1,2,6299,117,2.4323
1,2,6292,118,2.4256
1,2,9742,119,2.4189
1,2,7145,120,2.4189
1,2,5639,121,2.4171
1,2,9091,122,2.4125
1,2,7755,123,2.4027
1,2,9092,124,2.3932
1,2,8554,125,2.3888
1,2,5268,126,2.3856
1,2,6645,127,2.3819
1,2,5068,128,2.3819
1,2,6474,129,2.3806
1,2,5122,130,2.3592
1,2,5121,131,2.3567
1,2,5769,132,2.3398
1,2,8972,133,2.3358
1,2,8857,134,2.3324
1,2,7389,135,2.3324
1,2,7341,136,2.3324
1,2,7142,137,2.3324
1,2,6934,138,2.3324
1,2,6798,139,2.3324
1,2,6667,140,2.3324
1,2,6659,141,2.3324
1,2,6209,142,2.3324
1,2,6138,143,2.3324
1,2,6008,144,2.3324
1,2,5814,145,2.3324
1,2,7198,146,2.3322
1,2,6873,147,2.3322
1,2,5546,148,2.3322
1,2,9746,149,2.3285
1,2,8300,150,2.3175
1,2,9128,151,2.3108
1,2,7579,152,2.3108
1,2,5663,153,2.2974
1,2,9261,154,2.2942
1,2,6120,155,2.2931
1,2,8572,156,2.2910
1,2,6917,157,2.2910
1,2,8455,158,2.2869
1,2,7748,159,2.2869
1,2,7009,160,2.2717
1,2,5009,161,2.2704
1,2,6677,162,2.2644
1,2,6469,163,2.2616
1,2,5727,164,2.2574
1,2,5140,165,2.2574
1,2,5884,166,2.2550
1,2,8339,167,2.2495
1,2,9744,168,2.2427
1,2,8341,169,2.2427
1,2,7956,170,2.2377
1,2,7758,171,2.2377
1,2,9104,172,2.2365
1,2,7824,173,2.2365
1,2,7949,174,2.2352
1,2,7823,175,2.2199
1,2,9743,176,2.2183
1,2,6906,177,2.2072
1,2,10016,178,2.1961
1,2,6943,179,2.1949
1,2,6294,180,2.1949
1,2,9542,181,2.1924
1,2,7759,182,2.1905
1,2,5497,183,2.1905
1,2,9973,184,2.1893
1,2,6503,185,2.1893
1,2,9391,186,2.1880
1,2,6919,187,2.1880
1,2,9871,188,2.1873
1,2,6290,189,2.1783
1,2,6289,190,2.1783
1,2,8201,191,2.1739
1,2,6050,192,2.1739
1,2,7746,193,2.1720
1,2,6496,194,2.1706
1,2,7467,195,2.1679
1,2,7154,196,2.1679
1,2,6556,197,2.1654
1,2,5378,198,2.1654
1,2,9969,199,2.1514
1,2,7118,200,2.1514
1,2,6468,201,2.1514
1,2,5000,202,2.1489
1,2,6927,203,2.1359
1,2,6467,204,2.1359
1,2,6210,205,2.1359
1,2,6378,206,2.1335
1,2,6635,207,2.1283
1,2,8338,208,2.1280
1,2,9558,209,2.1010
1,2,6778,210,2.1010
1,2,5993,211,2.1010
1,2,5817,212,2.1010
1,2,5299,213,2.1010
1,2,8662,214,2.0984
1,2,5515,215,2.0984
1,2,9262,216,2.0944
1,2,7760,217,2.0931
1,2,7114,218,2.0931
1,2,6558,219,2.0931
1,2,6104,220,2.0931
1,2,9547,221,2.0746
1,2,8346,222,2.0725
1,2,8177,223,2.0690
1,2,6780,224,2.0690
1,2,5792,225,2.0690
1,2,5376,226,2.0690
1,2,6287,227,2.0566
1,2,5362,228,2.0566
1,2,8431,229,2.0501
1,2,6368,230,2.0501
1,2,5799,231,2.0501
1,2,5309,232,2.0501
1,2,7639,233,2.0491
1,2,6296,234,2.0491
1,2,5561,235,2.0491
1,2,5505,236,2.0491
1,2,9944,237,2.0464
1,2,9616,238,2.0464
1,2,7223,239,2.0464
1,2,7089,240,2.0464
1,2,6836,241,2.0464
1,2,6504,242,2.0464
1,2,5562,243,2.0439
1,2,8340,244,2.0299
1,2,7732,245,2.0299
1,2,6918,246,2.0299
1,2,6459,247,2.0299
1,2,6181,248,2.0274
1,2,6738,249,2.0266
1,2,8176,250,2.0221
1,2,7940,251,2.0221
1,2,7589,252,2.0221
1,2,5558,253,2.0149
1,2,9082,254,2.0099
1,2,5797,255,2.0099
1,2,8151,256,1.9914
1,2,9556,257,1.9901
1,2,9533,258,1.9901
1,2,7738,259,1.9880
1,2,6286,260,1.9820
1,2,9443,261,1.9809
1,2,8940,262,1.9795
1,2,7603,263,1.9795
1,2,8558,264,1.9753
1,2,7831,265,1.9753
1,2,6219,266,1.9753
1,2,6030,267,1.9753
1,2,5725,268,1.9753
1,2,5351,269,1.9753
1,2,7016,270,1.9729
1,2,7610,271,1.9708
1,2,6555,272,1.9708
1,2,6838,273,1.9595
1,2,9661,274,1.9510
1,2,8454,275,1.9510
1,2,7011,276,1.9510
1,2,8990,277,1.9474
1,2,6325,278,1.9474
1,2,5994,279,1.9474
1,2,5559,280,1.9474
1,2,9753,281,1.9288
1,2,9027,282,1.9288
1,2,8767,283,1.9288
1,2,8438,284,1.9288
1,2,8297,285,1.9288
1,2,7955,286,1.9288
1,2,7137,287,1.9288
1,2,6936,288,1.9288
1,2,5443,289,1.9288
1,2,8470,290,1.9255
1,2,5417,291,1.9219
1,2,9390,292,1.9203
1,2,8876,293,1.9203
1,2,6525,294,1.9203
1,2,5571,295,1.9203
1,2,5516,296,1.9203
1,2,9942,297,1.9084
1,2,8337,298,1.9084
1,2,6491,299,1.9084
1,2,7419,300,1.9034
1,2,6782,301,1.9034
1,2,5876,302,1.9034
1,2,9100,303,1.9006
1,2,8173,304,1.9006
1,2,7532,305,1.9006
1,2,7010,306,1.9006
1,2,6747,307,1.9006
1,2,5518,308,1.9006
1,2,5023,309,1.9006
1,2,7686,310,1.8985
1,2,9846,311,1.8937
1,2,6288,312,1.8937
1,2,8573,313,1.8884
1,2,7937,314,1.8884
1,2,6189,315,1.8884
1,2,5507,316,1.8884
1,2,5492,317,1.8884
1,2,9665,318,1.8832
1,2,9103,319,1.8832
1,2,8571,320,1.8832
1,2,6494,321,1.8832
1,2,9738,322,1.8828
1,2,9089,323,1.8828
1,2,5882,324,1.8828
1,2,9545,325,1.8665
1,2,6925,326,1.8665
1,2,6430,327,1.8665
1,2,9745,328,1.8594
1,2,9721,329,1.8538
1,2,9550,330,1.8538
1,2,8756,331,1.8538
1,2,8677,332,1.8538
1,2,8666,333,1.8538
1,2,8552,334,1.8538
1,2,8355,335,1.8538
1,2,5613,336,1.8538
1,2,5532,337,1.8538
1,2,5465,338,1.8538
1,2,5099,339,1.8538
1,2,5016,340,1.8538
1,2,9662,341,1.8493
1,2,9555,342,1.8493
1,2,9264,343,1.8493
1,2,7745,344,1.8493
1,2,6672,345,1.8493
1,2,5183,346,1.8493
1,2,9660,347,1.8480
1,2,9149,348,1.8480
1,2,7691,349,1.8480
1,2,7530,350,1.8480
1,2,6495,351,1.8480
1,2,5017,352,1.8480
1,2,9540,353,1.8323
1,2,8019,354,1.8323
1,2,8671,355,1.8295
1,2,5793,356,1.8295
1,2,5120,357,1.8295
1,2,8446,358,1.8274
1,2,8080,359,1.8040
1,2,6920,360,1.8040
1,2,9868,361,1.8004
1,2,8873,362,1.8004
1,2,7357,363,1.8004
1,2,7187,364,1.8004
1,2,7077,365,1.8004
1,2,6085,366,1.8004
1,2,5312,367,1.8004
1,2,9554,368,1.7988
1,2,9519,369,1.7988
1,2,9324,370,1.7988
1,2,9102,371,1.7988
1,2,7390,372,1.7988
1,2,6824,373,1.7988
1,2,6237,374,1.7988
1,2,5809,375,1.7988
1,2,5796,376,1.7988
1,2,5756,377,1.7988
1,2,5482,378,1.7988
1,2,8971,379,1.7869
1,2,8309,380,1.7857
1,2,5542,381,1.7857
1,2,8175,382,1.7770
1,2,6913,383,1.7770
1,2,6681,384,1.7770
1,2,6671,385,1.7770
1,2,9549,386,1.7613
1,2,9294,387,1.7613
1,2,7528,388,1.7613
1,2,7366,389,1.7613
1,2,7359,390,1.7613
1,2,7088,391,1.7613
1,2,6949,392,1.7613
1,2,5144,393,1.7613
1,2,10035,394,1.7450
1,2,9557,395,1.7450
1,2,9077,396,1.7450
1,2,7965,397,1.7450
1,2,7907,398,1.7450
1,2,7825,399,1.7450
1,2,7653,400,1.7450
1,2,6103,401,1.7450
1,2,5886,402,1.7450
1,2,5637,403,1.7450
1,2,9561,404,1.7278
1,2,9271,405,1.7278
1,2,9148,406,1.7278
1,2,8660,407,1.7278
1,2,8475,408,1.7278
1,2,7947,409,1.7278
1,2,6102,410,1.7278
1,2,5894,411,1.7278
1,2,5490,412,1.7278
1,2,9739,413,1.7108
1,2,9396,414,1.7108
1,2,8976,415,1.7108
1,2,8890,416,1.7108
1,2,8376,417,1.7108
1,2,8364,418,1.7108
1,2,7688,419,1.7108
1,2,7552,420,1.7108
1,2,7375,421,1.7108
1,2,5666,422,1.7108
1,2,7761,423,1.7080
1,2,6385,424,1.7080
1,2,9748,425,1.7059
1,2,9150,426,1.7059
1,2,9101,427,1.7059
1,2,8344,428,1.7059
1,2,7951,429,1.7059
1,2,7230,430,1.7059
1,2,6796,431,1.7059
1,2,6284,432,1.7059
1,2,5698,433,1.7059
1,2,9397,434,1.6925
1,2,8319,435,1.6674
1,2,7954,436,1.6674
1,2,9947,437,1.6555
1,2,9771,438,1.6555
1,2,9280,439,1.6555
1,2,8765,440,1.6555
1,2,8663,441,1.6555
1,2,8133,442,1.6555
1,2,8065,443,1.6555
1,2,7425,444,1.6555
1,2,7351,445,1.6555
1,2,7128,446,1.6555
1,2,6689,447,1.6555
1,2,5830,448,1.6555
1,2,5564,449,1.6555
1,2,5311,450,1.6555
1,2,6563,451,1.6534
1,2,5400,452,1.6534
1,2,9922,453,1.6465
1,2,9853,454,1.6465
1,2,8895,455,1.6465
1,2,7917,456,1.6465
1,2,7712,457,1.6465
1,2,7645,458,1.6465
1,2,6235,459,1.6465
1,2,5204,460,1.6465
1,2,5102,461,1.6465
1,2,9796,462,1.6398
1,2,9362,463,1.6398
1,2,8817,464,1.6398
1,2,8211,465,1.6398
1,2,7696,466,1.6398
1,2,7583,467,1.6398
1,2,7173,468,1.6398
1,2,7107,469,1.6398
1,2,6968,470,1.6398
1,2,6588,471,1.6398
1,2,6213,472,1.6398
1,2,6054,473,1.6398
1,2,5820,474,1.6398
1,2,5521,475,1.6398
1,2,5306,476,1.6398
1,2,5089,477,1.6398
1,2,8480,478,1.6283
1,2,9154,479,1.6214
1,2,7984,480,1.6214
1,2,7847,481,1.6214
1,2,5946,482,1.6214
1,2,9763,483,1.6063
1,2,9276,484,1.6063
1,2,8181,485,1.6063
1,2,8081,486,1.6063
1,2,5560,487,1.6063
1,2,5517,488,1.6063
1,2,8461,489,1.6030
1,2,5168,490,1.6030
1,2,9956,491,1.5844
1,2,9940,492,1.5844
1,2,9250,493,1.5844
1,2,9155,494,1.5844
1,2,9073,495,1.5844
1,2,9024,496,1.5844
